"","date","net_kWh","produced_kWh","consumed_kWh"
"1",2022-04-15,16.95,6.867,23.817
"2",2022-04-16,-35.24,48.181,12.941
"3",2022-04-17,-49.91,77.458,27.548
"4",2022-04-18,7.35,35.15,42.5
"5",2022-04-19,-16.85,59.847,42.997
"6",2022-04-20,-63.69,95.569,31.879
"7",2022-04-21,-17.7,41.917,24.217
"8",2022-04-22,-62.9099999999999,87.194,24.284
"9",2022-04-23,-32.25,48.169,15.919
"10",2022-04-24,-66.81,86.432,19.622
"11",2022-04-25,-23.79,46.028,22.238
"12",2022-04-26,-8.99,27.972,18.982
"13",2022-04-27,-21.72,47.854,26.134
"14",2022-04-28,-61.82,98.081,36.261
"15",2022-04-29,-76.1,101.519,25.419
"16",2022-04-30,-69.58,95.533,25.953
"17",2022-05-01,-49.17,67.773,18.603
"18",2022-05-02,-25.24,43.829,18.589
"19",2022-05-03,-58.17,74.161,15.991
"20",2022-05-04,-16.77,28.101,11.331
"21",2022-05-05,-70.29,88.22,17.93
"22",2022-05-06,6.66,11.76,18.42
"23",2022-05-07,33.67,12.843,46.513
"24",2022-05-08,-56.63,84.67,28.04
"25",2022-05-09,-83.39,101.569,18.179
"26",2022-05-10,-79.7,100.926,21.226
"27",2022-05-11,-72.63,89.07,16.44
"28",2022-05-12,-56.37,77.671,21.301
"29",2022-05-13,-6.34,34.265,27.925
"30",2022-05-14,-2.3,29.336,27.036
"31",2022-05-15,-40.32,67.655,27.335
"32",2022-05-16,-21.49,47.433,25.943
"33",2022-05-17,-61.53,85.922,24.392
"34",2022-05-18,-63.74,88.068,24.328
"35",2022-05-19,-26.77,50.379,23.609
"36",2022-05-20,-16.72,40.518,23.798
"37",2022-05-21,-27.79,85.28,57.49
"38",2022-05-22,-24.33,72.352,48.022
"39",2022-05-23,-54.91,83.239,28.329
"40",2022-05-24,-38.14,53.451,15.311
"41",2022-05-25,-79.68,95.401,15.721
"42",2022-05-26,-24.97,39.175,14.205
"43",2022-05-27,-2.27,23.752,21.482
"44",2022-05-28,-26.53,40.956,14.426
"45",2022-05-29,-73.0899999999999,92.823,19.733
"46",2022-05-30,-57.4,94.394,36.994
"47",2022-05-31,-33.47,89.468,55.998
"48",2022-06-01,-22.32,71.34,49.02
"49",2022-06-02,-14.79,45.29,30.5
"50",2022-06-03,-50.21,90.524,40.314
"51",2022-06-04,-62.05,101.163,39.113
"52",2022-06-05,-52.22,100.365,48.145
"53",2022-06-06,-62.4,96.792,34.392
"54",2022-06-07,-4.94,45.551,40.611
"55",2022-06-08,-52.82,99.14,46.32
"56",2022-06-09,-34.65,79.927,45.277
"57",2022-06-10,-42.57,84.032,41.462
"58",2022-06-11,-27.1,56.343,29.243
"59",2022-06-12,4.38,28.96,33.34
"60",2022-06-13,-30.29,83.468,53.178
"61",2022-06-14,-37.72,84.421,46.701
"62",2022-06-15,-43.42,94.325,50.905
"63",2022-06-16,7.9,29.159,37.059
"64",2022-06-17,-33.19,80.56,47.37
"65",2022-06-18,-30.19,66.74,36.55
"66",2022-06-19,-74.99,106.615,31.625
"67",2022-06-20,-60.95,100.1,39.15
"68",2022-06-21,-31.03,65.065,34.035
"69",2022-06-22,-10.76,39.265,28.505
"70",2022-06-23,10.36,22.958,33.318
"71",2022-06-24,-60.16,94.379,34.219
"72",2022-06-25,-32.71,88.348,55.638
"73",2022-06-26,-32.54,87.808,55.268
"74",2022-06-27,-9.29,49.292,40.002
"75",2022-06-28,-60.15,98.969,38.819
"76",2022-06-29,-64.71,96.053,31.343
"77",2022-06-30,-61.48,92.796,31.316
"78",2022-07-01,-33.54,79.71,46.17
"79",2022-07-02,-30.81,68.482,37.672
"80",2022-07-03,-50.56,90.589,40.029
"81",2022-07-04,-45.32,94.165,48.845
"82",2022-07-05,-10.51,45.385,34.875
"83",2022-07-06,-28.61,72.006,43.396
"84",2022-07-07,-25.87,58.306,32.436
"85",2022-07-08,-12.25,57.418,45.168
"86",2022-07-09,-53.13,84.209,31.079
"87",2022-07-10,-66.02,98.023,32.003
"88",2022-07-11,-54.21,92.407,38.197
"89",2022-07-12,-34.13,66.928,32.798
"90",2022-07-13,-40.63,80.596,39.966
"91",2022-07-14,-34.43,78.326,43.896
"92",2022-07-15,-52.59,84.22,31.63
"93",2022-07-16,-12.11,45.223,33.113
"94",2022-07-17,-31.77,63.307,31.537
"95",2022-07-18,-12.67,50.12,37.45
"96",2022-07-19,-44.55,89.85,45.3
"97",2022-07-20,-41.25,89.745,48.495
"98",2022-07-21,-24.48,82.699,58.219
"99",2022-07-22,-32.31,78.157,45.847
"100",2022-07-23,-27.18,88.419,61.239
"101",2022-07-24,-33.36,86.369,53.009
"102",2022-07-25,12.88,46.91,59.79
"103",2022-07-26,-17.09,63.354,46.264
"104",2022-07-27,-16.58,58.1,41.52
"105",2022-07-28,-5.34999999999999,60.237,54.887
"106",2022-07-29,15.11,31.419,46.529
"107",2022-07-30,-48.89,90.59,41.7
"108",2022-07-31,-25.41,61.848,36.438
"109",2022-08-01,-12.37,45.53,33.16
"110",2022-08-02,-32.41,82.762,50.352
"111",2022-08-03,-27.33,91.267,63.937
"112",2022-08-04,-23.12,80.105,56.985
"113",2022-08-05,-3.94000000000001,55.431,51.491
"114",2022-08-06,-6.86,62.187,55.327
"115",2022-08-07,-17.73,75.995,58.265
"116",2022-08-08,-18.96,76.674,57.714
"117",2022-08-09,11.13,59.425,70.555
"118",2022-08-10,-17.4,66.568,49.168
"119",2022-08-11,-37.79,84.285,46.495
"120",2022-08-12,-47.6,89.643,42.043
"121",2022-08-13,-52.92,91.657,38.737
"122",2022-08-14,-39.57,82.017,42.447
"123",2022-08-15,-20.55,71.199,50.649
"124",2022-08-16,-26.41,79.645,53.235
"125",2022-08-17,-28.45,69.413,40.963
"126",2022-08-18,-37.23,79.544,42.314
"127",2022-08-19,-6.6,62.654,56.054
"128",2022-08-20,-17.48,68.595,51.115
"129",2022-08-21,-10.02,57.044,47.024
"130",2022-08-22,19.67,22.024,41.694
"131",2022-08-23,-15.93,61.703,45.773
"132",2022-08-24,-25.21,78.6,53.39
"133",2022-08-25,-20.05,75.519,55.469
"134",2022-08-26,-21.24,69.505,48.265
"135",2022-08-27,-17.87,68.161,50.291
"136",2022-08-28,-4.37,58.343,53.973
"137",2022-08-29,-3.1,59.67,56.57
"138",2022-08-30,2.81,47.007,49.817
"139",2022-08-31,-37.18,79.578,42.398
"140",2022-09-01,-33.6,82.491,48.891
"141",2022-09-02,-44.66,79.867,35.207
"142",2022-09-03,-24.05,64.637,40.587
"143",2022-09-04,-16.75,62.334,45.584
"144",2022-09-05,7.22000000000001,31.066,38.286
"145",2022-09-06,25.99,13.349,39.339
"146",2022-09-07,13.97,16.582,30.552
"147",2022-09-08,-21.69,68.574,46.884
"148",2022-09-09,-34.18,73.843,39.663
"149",2022-09-10,-25.02,64.3,39.28
"150",2022-09-11,23.65,9.587,33.237
"151",2022-09-12,-14.1,32.393,18.293
"152",2022-09-13,-30.36,64.054,33.694
"153",2022-09-14,-39.58,68.47,28.89
"154",2022-09-15,-54.8,76.431,21.631
"155",2022-09-16,-31.93,66.74,34.81
"156",2022-09-17,-29.25,65.907,36.657
"157",2022-09-18,-21.33,64.977,43.647
"158",2022-09-19,0.870000000000001,43.32,44.19
"159",2022-09-20,-27.27,63.416,36.146
"160",2022-09-21,-24.49,62.676,38.186
"161",2022-09-22,1.25000000000001,29.396,30.646
"162",2022-09-23,-45.65,74.852,29.202
"163",2022-09-24,-35.1,62.171,27.071
"164",2022-09-25,2.3,27.402,29.702
"165",2022-09-26,-26.26,56.834,30.574
"166",2022-09-27,-18.5,50.305,31.805
"167",2022-09-28,-23.39,53.368,29.978
"168",2022-09-29,-30.2,64.095,33.895
"169",2022-09-30,-11.8,39.213,27.413
"170",2022-10-01,14.63,19.027,33.657
"171",2022-10-02,17.95,9.691,27.641
"172",2022-10-03,26.54,10.167,36.707
"173",2022-10-04,43.57,6.613,50.183
"174",2022-10-05,11.81,20.647,32.457
"175",2022-10-06,-26.23,58.981,32.751
"176",2022-10-07,-25.8,51.29,25.49
"177",2022-10-08,-30.47,58.636,28.166
"178",2022-10-09,-24.03,63.096,39.066
"179",2022-10-10,-24.83,55.378,30.548
"180",2022-10-11,-27.71,57.663,29.953
"181",2022-10-12,-14.84,47.794,32.954
"182",2022-10-13,25.21,7.522,32.732
"183",2022-10-14,-25.27,54.177,28.907
"184",2022-10-15,-21.29,56.543,35.253
"185",2022-10-16,-14.07,41.416,27.346
"186",2022-10-17,12.6,20.449,33.049
"187",2022-10-18,-19.1,53.303,34.203
"188",2022-10-19,10.11,29.413,39.523
"189",2022-10-20,-8.43,57.27,48.84
"190",2022-10-21,-19.72,54.713,34.993
"191",2022-10-22,-18.08,53.568,35.488
"192",2022-10-23,16.13,17.967,34.097
"193",2022-10-24,20.83,13.084,33.914
"194",2022-10-25,12.33,25.666,37.996
"195",2022-10-26,13.38,15.649,29.029
"196",2022-10-27,-22.19,51.306,29.116
"197",2022-10-28,-10.41,44.665,34.255
"198",2022-10-29,-19.8,52.066,32.266
"199",2022-10-30,-12.2,48.826,36.626
"200",2022-10-31,11.85,19.933,31.783
"201",2022-11-01,8.13,23.897,32.027
"202",2022-11-02,-14.22,44.633,30.413
"203",2022-11-03,-16.3,47.025,30.725
"204",2022-11-04,-14.93,43.908,28.978
"205",2022-11-05,4.17,27.442,31.612
"206",2022-11-06,24.49,6.343,30.833
"207",2022-11-07,-12.3,43.974,31.674
"208",2022-11-08,-19.05,46.817,27.767
"209",2022-11-09,-9.69,45.604,35.914
"210",2022-11-10,-2.27,41.864,39.594
"211",2022-11-11,24.4,4.048,28.448
"212",2022-11-12,25.49,18.478,43.968
"213",2022-11-13,1.55000000000001,28.872,30.422
"214",2022-11-14,-2.17000000000001,45.589,43.419
"215",2022-11-15,49.32,18.572,67.892
"216",2022-11-16,32.08,25.311,57.391
"217",2022-11-17,31.65,21.423,53.073
"218",2022-11-18,22.2,33.338,55.538
"219",2022-11-19,24.65,38.776,63.426
"220",2022-11-20,18.55,44.239,62.789
"221",2022-11-21,22.95,42.397,65.347
"222",2022-11-22,10.81,39.391,50.201
"223",2022-11-23,-3.19,38.881,35.691
"224",2022-11-24,12.65,34.534,47.184
"225",2022-11-25,26.3,19.632,45.932
"226",2022-11-26,13.17,38.988,52.158
"227",2022-11-27,38.59,4.352,42.942
"228",2022-11-28,25.02,16.995,42.015
"229",2022-11-29,38.28,22.698,60.978
"230",2022-11-30,66.67,1.694,68.364
"231",2022-12-01,16.9,35.665,52.565
"232",2022-12-02,26.8,36.37,63.17
"233",2022-12-03,40.77,3.244,44.014
"234",2022-12-04,15.05,32.991,48.041
"235",2022-12-05,49.44,34.115,83.555
"236",2022-12-06,55.69,3.152,58.842
"237",2022-12-07,38.43,6.451,44.881
"238",2022-12-08,26.62,13.973,40.593
"239",2022-12-09,19.85,36.281,56.131
"240",2022-12-10,28.52,34.215,62.735
"241",2022-12-11,62.19,3.497,65.687
"242",2022-12-12,54.58,13.826,68.406
"243",2022-12-13,32.61,37.033,69.643
"244",2022-12-14,35.33,28.84,64.17
"245",2022-12-15,86.82,0.896,87.716
"246",2022-12-16,65.9,12.025,77.925
"247",2022-12-17,42.46,19.455,61.915
"248",2022-12-18,34.33,26.248,60.578
"249",2022-12-19,57.02,13.217,70.237
"250",2022-12-20,34.9,34.514,69.414
"251",2022-12-21,44.83,32.472,77.302
"252",2022-12-22,72.06,3.027,75.087
"253",2022-12-23,75.36,11.607,86.967
"254",2022-12-24,118.76,28.566,147.326
"255",2022-12-25,105.28,29.352,134.632
"256",2022-12-26,78.86,29.893,108.753
"257",2022-12-27,61.81,16.695,78.505
"258",2022-12-28,32.32,33.357,65.6770000000001
"259",2022-12-29,28.37,33.76,62.13
"260",2022-12-30,18.04,18.194,36.234
"261",2022-12-31,30.25,3.77,34.02
"262",2023-01-01,16.67,27.162,43.832
"263",2023-01-02,32.01,10.023,42.033
"264",2023-01-03,42.98,3.322,46.302
"265",2023-01-04,22.03,18.941,40.971
"266",2023-01-05,15.22,23.86,39.08
"267",2023-01-06,40.2,12.098,52.298
"268",2023-01-07,51.22,14.343,65.563
"269",2023-01-08,25.75,27.771,53.521
"270",2023-01-09,20.41,36.366,56.776
"271",2023-01-10,50.32,11.176,61.496
"272",2023-01-11,56.56,22.848,79.408
"273",2023-01-12,49.74,4.647,54.387
"274",2023-01-13,35.55,9.474,45.024
"275",2023-01-14,62.96,15.408,78.368
"276",2023-01-15,45.46,41.111,86.571
"277",2023-01-16,27.46,42.036,69.496
"278",2023-01-17,53.16,9.398,62.558
"279",2023-01-18,29.54,19.833,49.373
"280",2023-01-19,57.17,1.809,58.979
"281",2023-01-20,54.85,10.954,65.804
"282",2023-01-21,49.71,11.198,60.908
"283",2023-01-22,45.22,16.504,61.724
"284",2023-01-23,58.79,5.327,64.117
"285",2023-01-24,53.88,23.891,77.771
"286",2023-01-25,70.27,2.988,73.258
"287",2023-01-26,44.03,16.111,60.141
"288",2023-01-27,44.67,25,69.67
"289",2023-01-28,27.48,38.067,65.547
"290",2023-01-29,46.62,10.454,57.074
"291",2023-01-30,18.9,28.724,47.624
"292",2023-01-31,51.84,12.424,64.264
"293",2023-02-01,17.63,47.977,65.607
"294",2023-02-02,42.56,42.825,85.385
"295",2023-02-03,98.66,30.489,129.149
"296",2023-02-04,77.52,43.174,120.694
"297",2023-02-05,79.59,33.358,112.948
"298",2023-02-06,44.9,11.509,56.409
"299",2023-02-07,33.56,35.369,68.929
"300",2023-02-08,32.93,46.322,79.252
"301",2023-02-09,59,13.378,72.378
"302",2023-02-10,-8.76000000000001,48.966,40.206
"303",2023-02-11,67.48,51.489,118.969
"304",2023-02-12,35.15,24.191,59.341
"305",2023-02-13,-2.13999999999999,42.953,40.813
"306",2023-02-14,17.08,53.646,70.726
"307",2023-02-15,-7.8,45.412,37.612
"308",2023-02-16,12.61,16.685,29.295
"309",2023-02-17,60.36,7.504,67.864
"310",2023-02-18,48.93,58.958,107.888
"311",2023-02-19,29.89,39.674,69.564
"312",2023-02-20,18.96,33.542,52.502
"313",2023-02-21,38.93,23.515,62.445
"314",2023-02-22,50.11,8.969,59.079
"315",2023-02-23,12.96,40.318,53.278
"316",2023-02-24,-2.01,52.744,50.734
"317",2023-02-25,83.37,23.679,107.049
"318",2023-02-26,72.19,43.175,115.365
"319",2023-02-27,35.8,43.901,79.701
"320",2023-02-28,65.89,15.74,81.63
"321",2023-03-01,19.04,49.571,68.611
"322",2023-03-02,57.68,33.108,90.788
"323",2023-03-03,21.39,28.266,49.656
"324",2023-03-04,18.38,24.402,42.782
"325",2023-03-05,-10.21,56.094,45.884
"326",2023-03-06,-21.65,58.435,36.785
"327",2023-03-07,42.18,49.075,91.255
"328",2023-03-08,2.89999999999999,70.159,73.059
"329",2023-03-09,-22.94,71.816,48.876
"330",2023-03-10,34.49,19.178,53.668
"331",2023-03-11,19.35,44.505,63.855
"332",2023-03-12,68.23,37.365,105.595
"333",2023-03-13,39.01,9.621,48.631
"334",2023-03-14,58.23,28.875,87.105
"335",2023-03-15,25.47,69.559,95.029
"336",2023-03-16,-6.64999999999999,64.902,58.252
"337",2023-03-17,-1.05,31.497,30.447
"338",2023-03-18,-30,67.62,37.62
"339",2023-03-19,37.72,67.214,104.934
"340",2023-03-20,-29.08,79.219,50.139
"341",2023-03-21,-25.51,74.338,48.828
"342",2023-03-22,-19.2,59.09,39.89
"343",2023-03-23,32.31,19.684,51.994
"344",2023-03-24,-10.25,33.794,23.544
"345",2023-03-25,32.49,5.003,37.493
"346",2023-03-26,-34.13,82.095,47.965
"347",2023-03-27,-9.16999999999999,42.294,33.124
"348",2023-03-28,-19.18,52.876,33.696
"349",2023-03-29,-43.35,77.101,33.751
"350",2023-03-30,-51.12,87.262,36.142
"351",2023-03-31,42.86,31.96,74.82
"352",2023-04-01,-26.77,47.738,20.968
"353",2023-04-02,-61.7,87.397,25.697
"354",2023-04-03,-32.42,72.932,40.512
"355",2023-04-04,-55.76,78.48,22.72
"356",2023-04-05,21.51,14.997,36.507
"357",2023-04-06,-8.39000000000001,40.158,31.768
"358",2023-04-07,27.32,39.483,66.803
"359",2023-04-08,-39.8,75.172,35.372
"360",2023-04-09,-61.93,88.238,26.308
"361",2023-04-10,-61.77,86.633,24.863
"362",2023-04-11,-51.2,75.568,24.368
"363",2023-04-12,-18.8,80.92,62.12
"364",2023-04-13,-63.42,81.85,18.43
"365",2023-04-14,-36.69,71.999,35.309
"366",2023-04-15,37.63,14.375,52.005
"367",2023-04-16,-23.66,39.431,15.771
"368",2023-04-17,-20.61,56.886,36.276
"369",2023-04-18,14.14,45.759,59.899
"370",2023-04-19,-61,87.485,26.485
"371",2023-04-20,-61.85,84.808,22.958
"372",2023-04-21,-62.02,84.146,22.126
"373",2023-04-22,-31.18,48.353,17.173
"374",2023-04-23,-27.43,62.312,34.882
"375",2023-04-24,-47.4,70.984,23.584
"376",2023-04-25,-60.96,89.081,28.121
"377",2023-04-26,-34.73,57.718,22.988
"378",2023-04-27,-41.55,57.592,16.042
